Global horizontal irradiation (GHI);Beam horizontal irradiation (BHI);Diffuse horizontal irradiation (DHI);Ambient temperature;Stromverbrauch VDI4655 EFH;Heizwärme VDI4655 EFH;Trinkwarmwasser VDI4655 EFH;Office 8-18;1 shift factory;2 shift factory
Wh/m²;Wh/m²;Wh/m²;°C;Normiert/a;Normiert/a;Normiert/a;Normiert/a;Normiert/a;Normiert/a
0,0000000000;0,0000000000;0,0000000000;4,0400000000;9,24098E-05;0,00017082;0;7,44794E-05;6,1913E-05;4,97211E-05
0,0000000000;0,0000000000;0,0000000000;4,2300000000;8,09184E-05;0,000160468;0;7,52278E-05;7,49473E-05;6,01887E-05
0,0000000000;0,0000000000;0,0000000000;4,2600000000;0,00006823;0,000181173;0;7,52278E-05;6,1913E-05;4,97211E-05
0,0000000000;0,0000000000;0,0000000000;4,2300000000;0,00006823;0,00018635;0;7,54773E-05;7,49473E-05;6,01887E-05
0,0000000000;0,0000000000;0,0000000000;4,2400000000;6,55966E-05;0,000155291;0;7,49427E-05;6,1913E-05;4,97211E-05
0,0000000000;0,0000000000;0,0000000000;4,2600000000;6,87088E-05;0,00018635;0;7,66176E-05;7,49473E-05;6,01887E-05
0,0000000000;0,0000000000;0,0000000000;4,3100000000;6,72724E-05;0,000181173;0;7,85776E-05;6,1913E-05;4,97211E-05
0,0000000000;0,0000000000;0,0000000000;4,2300000000;7,54121E-05;0,000175997;0;7,54773E-05;7,49473E-05;6,01887E-05
4,8000000000;0,0000000000;5,5000000000;3,9900000000;0,000146754;0,000201879;0;6,98824E-05;0,000178005;0,000142952
38,6200000000;4,2300000000;34,3900000000;4,5100000000;0,000147951;0,000248466;0,001659537;6,90271E-05;0,000213893;0,000171773
78,1000000000;10,2600000000;67,8400000000;5,5600000000;0,00018051;0,000248466;0;6,90271E-05;0,000269376;0,00021633
101,3500000000;18,0400000000;83,3100000000;6,8300000000;0,000174286;0,000238113;0,001161676;6,93122E-05;0,000281715;0,00022624
108,5500000000;15,0600000000;93,4900000000;7,5600000000;0,000221927;0,000217408;0,000331907;6,8742E-05;0,000198513;0,000159421
73,8500000000;11,6500000000;62,2000000000;7,4700000000;0,000444812;0,000238113;0,000165954;6,93122E-05;0,000211199;0,00016961
33,2800000000;5,2400000000;28,0400000000;7,0800000000;0,000158246;0,000232937;0;6,95973E-05;0,000267334;0,00021469
12,5500000000;0,0000000000;12,6900000000;6,5200000000;0,000475934;0,000222584;0;6,98824E-05;0,000280368;0,000225158
0,0000000000;0,0000000000;0,0000000000;6,1900000000;0,000065836;0,000222584;0;7,21275E-05;8,58093E-05;0,000162632
0,0000000000;0,0000000000;0,0000000000;5,9600000000;5,43446E-05;0,000212231;0;7,71878E-05;7,49473E-05;0,000154188
0,0000000000;0,0000000000;0,0000000000;5,3900000000;5,31476E-05;0,000227761;0;7,77223E-05;6,1913E-05;0,00014372
0,0000000000;0,0000000000;0,0000000000;4,9900000000;9,24098E-05;0,000201879;0,000331907;7,66176E-05;7,49473E-05;0,000154467
0,0000000000;0,0000000000;0,0000000000;4,6100000000;0,000381849;0,000258819;0,000663815;7,77223E-05;6,1913E-05;0,000143999
0,0000000000;0,0000000000;0,0000000000;4,8900000000;0,000251853;0,000217408;0,000165954;7,91478E-05;7,49473E-05;0,000154711
0,0000000000;0,0000000000;0,0000000000;5,0500000000;0,000119702;0,000227761;0;7,60474E-05;6,1913E-05;0,000144523
0,0000000000;0,0000000000;0,0000000000;5,0200000000;0,00006823;0,000207055;0;7,57623E-05;7,49473E-05;0,000155269
0,0000000000;0,0000000000;0,0000000000;4,9200000000;0,000171163;0,000242615;4,12977E-05;7,54773E-05;6,1913E-05;4,97211E-05
0,0000000000;0,0000000000;0,0000000000;4,7200000000;0,000112717;0,000203797;4,12977E-05;7,63325E-05;7,49473E-05;6,01887E-05
0,0000000000;0,0000000000;0,0000000000;4,4900000000;0,000113826;0,000223206;0;7,60474E-05;6,1913E-05;4,97211E-05
0,0000000000;0,0000000000;0,0000000000;4,1600000000;7,47834E-05;0,000213502;0;7,94329E-05;7,49473E-05;6,01887E-05
0,0000000000;0,0000000000;0,0000000000;3,7800000000;8,49919E-05;0,000232911;0,000123893;8,08227E-05;6,1913E-05;4,97211E-05
0,0000000000;0,0000000000;0,0000000000;3,8600000000;0,000155296;0,000232911;0,000206489;8,9803E-05;7,49473E-05;6,01887E-05
0,0000000000;0,0000000000;0,0000000000;3,9500000000;0,000160058;0,000184388;0,000743359;0,000101313;6,1913E-05;4,97211E-05
0,0000000000;0,0000000000;0,0000000000;3,9300000000;9,68035E-05;0,000242615;0,000123893;0,000102418;7,49473E-05;6,01887E-05
3,5300000000;0,0000000000;4,0100000000;3,8000000000;0,000109723;0,00025232;0,00053687;0,000109724;0,000175268;0,000140754
21,9200000000;2,3700000000;19,5600000000;3,7100000000;0,000108497;0,000281434;0,000123893;0,000111684;0,000210852;0,000169331
43,8800000000;7,2500000000;36,6200000000;3,7700000000;0,000199478;0,000242615;4,12977E-05;0,000113109;0,000266682;0,000214167
56,5300000000;10,7800000000;45,7400000000;3,6800000000;5,51681E-05;0,000203797;0;0,000113644;0,000279369;0,000224355
67,2800000000;9,6000000000;57,6800000000;3,5900000000;4,69636E-05;0,000242615;0;0,000113644;0,000196471;0,000157782
39,7800000000;5,2900000000;34,4900000000;3,6600000000;4,74351E-05;0,000213502;0;0,000113109;0,000209157;0,00016797
25,6000000000;3,6100000000;21,9900000000;3,8200000000;4,56433E-05;0,000262025;0;0,000113394;0,000265987;0,000213609
8,6000000000;0,0000000000;8,7500000000;4,2000000000;6,70269E-05;0,00025232;4,12977E-05;0,000111684;0,000279369;0,000224355
0,0000000000;0,0000000000;0,0000000000;4,8500000000;0,000114816;0,000300843;4,12977E-05;0,000109153;8,58093E-05;0,000162073
0,0000000000;0,0000000000;0,0000000000;5,4500000000;7,23787E-05;0,000271729;0,000165191;0,000110579;7,49473E-05;0,000153629
0,0000000000;0,0000000000;0,0000000000;6,0100000000;0,000111374;0,000262025;0,000289084;9,82131E-05;6,1913E-05;0,000143441
0,0000000000;0,0000000000;0,0000000000;6,5100000000;0,000202684;0,00025232;0,000165191;9,54335E-05;7,49473E-05;0,000154188
0,0000000000;0,0000000000;0,0000000000;6,2800000000;0,000218834;0,000155274;0;9,54335E-05;6,1913E-05;0,000143999
0,0000000000;0,0000000000;0,0000000000;5,9200000000;0,000202259;0,000145569;8,25954E-05;9,11928E-05;7,49473E-05;0,00015499
0,0000000000;0,0000000000;0,0000000000;5,7100000000;0,000228948;0,000203797;0,000165191;8,22125E-05;6,1913E-05;0,000144523
0,0000000000;0,0000000000;0,0000000000;5,6400000000;0,000231942;0,000242615;0;7,46576E-05;7,49473E-05;0,000155828
0,0000000000;0,0000000000;0,0000000000;5,7800000000;0,000171163;0,000242615;4,12977E-05;7,60474E-05;6,1913E-05;4,97211E-05
0,0000000000;0,0000000000;0,0000000000;6,3100000000;0,000112717;0,000203797;4,12977E-05;7,54773E-05;7,49473E-05;6,01887E-05
0,0000000000;0,0000000000;0,0000000000;7,5000000000;0,000113826;0,000223206;0;7,54773E-05;6,1913E-05;4,97211E-05
0,0000000000;0,0000000000;0,0000000000;8,4500000000;7,47834E-05;0,000213502;0;7,63325E-05;7,49473E-05;6,01887E-05
0,0000000000;0,0000000000;0,0000000000;8,4800000000;8,49919E-05;0,000232911;0,000123893;7,52278E-05;6,1913E-05;4,97211E-05
0,0000000000;0,0000000000;0,0000000000;7,9500000000;0,000155296;0,000232911;0,000206489;8,61681E-05;7,49473E-05;6,01887E-05
0,0000000000;0,0000000000;0,0000000000;7,7800000000;0,000160058;0,000184388;0,000743359;0,000120129;6,1913E-05;4,97211E-05
0,0000000000;0,0000000000;0,0000000000;7,8300000000;9,68035E-05;0,000242615;0,000123893;0,00015548;7,49473E-05;6,01887E-05
3,8300000000;0,0000000000;4,3800000000;8,0300000000;0,000109723;0,00025232;0,00053687;0,000162216;5,75682E-05;4,62319E-05
34,0300000000;3,8100000000;30,2100000000;8,3300000000;0,000108497;0,000281434;0,000123893;0,000173726;7,06026E-05;5,66995E-05
68,7200000000;10,5600000000;58,1700000000;8,7500000000;0,000199478;0,000242615;4,12977E-05;0,000174261;5,97406E-05;4,79765E-05
83,5700000000;14,8600000000;68,7200000000;9,3300000000;5,51681E-05;0,000203797;0;0,000170341;7,2775E-05;5,84441E-05
89,4700000000;25,5500000000;63,9300000000;9,9600000000;4,69636E-05;0,000242615;0;0,000175971;5,75682E-05;4,62319E-05
79,5700000000;26,1800000000;53,4000000000;10,2100000000;4,74351E-05;0,000213502;0;0,000173156;7,06026E-05;5,66995E-05
52,9700000000;12,8100000000;40,1600000000;9,8300000000;4,56433E-05;0,000262025;0;0,000172871;5,97406E-05;4,79765E-05
14,9300000000;0,0000000000;16,1000000000;9,2400000000;6,70269E-05;0,00025232;4,12977E-05;0,000168381;7,2775E-05;5,84441E-05
0,0000000000;0,0000000000;0,0000000000;8,7600000000;0,000114816;0,000300843;4,12977E-05;0,000166135;6,1913E-05;4,97211E-05
0,0000000000;0,0000000000;0,0000000000;8,3800000000;7,23787E-05;0,000271729;0,000165191;0,000168095;7,49473E-05;6,01887E-05
0,0000000000;0,0000000000;0,0000000000;8,0800000000;0,000111374;0,000262025;0,000289084;0,000131889;6,1913E-05;4,97211E-05
0,0000000000;0,0000000000;0,0000000000;8,0600000000;0,000202684;0,00025232;0,000165191;0,000116174;7,49473E-05;6,01887E-05
0,0000000000;0,0000000000;0,0000000000;8,1400000000;0,000218834;0,000155274;0;0,000112539;6,1913E-05;4,97211E-05
0,0000000000;0,0000000000;0,0000000000;8,0600000000;0,000202259;0,000145569;8,25954E-05;0,000102169;7,49473E-05;6,01887E-05
0,0000000000;0,0000000000;0,0000000000;8,0000000000;0,000228948;0,000203797;0,000165191;8,36379E-05;6,1913E-05;4,97211E-05
0,0000000000;0,0000000000;0,0000000000;8,0300000000;0,000231942;0,000242615;0;7,74729E-05;7,49473E-05;6,01887E-05
0,0000000000;0,0000000000;0,0000000000;7,8500000000;0,000171163;0,000242615;4,12977E-05;7,88627E-05;6,1913E-05;4,97211E-05
0,0000000000;0,0000000000;0,0000000000;7,5300000000;0,000112717;0,000203797;4,12977E-05;7,69027E-05;7,49473E-05;6,01887E-05
0,0000000000;0,0000000000;0,0000000000;7,4200000000;0,000113826;0,000223206;0;7,77223E-05;6,46937E-05;5,19542E-05
0,0000000000;0,0000000000;0,0000000000;7,3000000000;7,47834E-05;0,000213502;0;8,16779E-05;7,49473E-05;6,01887E-05
0,0000000000;0,0000000000;0,0000000000;7,2200000000;8,49919E-05;0,000232911;0,000123893;8,33528E-05;6,1913E-05;4,97211E-05
0,0000000000;0,0000000000;0,0000000000;7,1200000000;0,000155296;0,000232911;0,000206489;9,31884E-05;7,78149E-05;6,24915E-05
0,0000000000;0,0000000000;0,0000000000;6,6200000000;0,000160058;0,000184388;0,000743359;0,000126009;6,4824E-05;5,20588E-05
0,0000000000;0,0000000000;0,0000000000;5,7100000000;9,68035E-05;0,000242615;0,000123893;0,000159685;7,79452E-05;6,25962E-05
4,1200000000;0,0000000000;4,6900000000;4,8200000000;0,000109723;0,00025232;0,00053687;0,000171196;6,06096E-05;4,86743E-05
37,5000000000;4,6300000000;32,8700000000;4,3400000000;0,000108497;0,000281434;0,000123893;0,000180176;7,36439E-05;5,91419E-05
71,1800000000;9,7300000000;61,4400000000;3,9000000000;0,000199478;0,000242615;4,12977E-05;0,000174011;6,29992E-05;5,05934E-05
77,3800000000;15,3400000000;62,0300000000;3,4700000000;5,51681E-05;0,000203797;0;0,000176506;7,60335E-05;6,1061E-05
76,2200000000;13,0300000000;63,2000000000;2,9600000000;4,69636E-05;0,000242615;0;0,000172301;6,2782E-05;5,04189E-05
58,9500000000;13,6000000000;45,3500000000;2,7100000000;4,74351E-05;0,000213502;0;0,000173726;7,59032E-05;6,09563E-05
48,8000000000;6,4000000000;42,4000000000;2,7100000000;4,56433E-05;0,000262025;0;0,000170626;6,50413E-05;5,22333E-05
